0.59000	0.07874
0.80385	0.12760
0.72125	0.01808
0.71625	0.05370
0.83468	0.00557
0.79375	0.06346
0.74625	0.17435
0.61000	0.06803
0.81625	0.02774
0.77750	0.04027
0.56562	0.08958
0.65247	0.13535
0.74588	0.08955
0.98352	0.02422
0.64205	0.10362
0.71375	0.02504
0.99802	0.00561
1.00000	0.00000
0.91875	0.07972
0.70125	0.03482
0.58250	0.00707
0.59250	0.02315
0.61625	0.04373
0.74250	0.04268
0.62875	0.02100
0.75298	0.22405
0.93750	0.05250
0.85500	0.02507
0.72750	0.00886
0.63250	0.00707
0.73500	0.01195
0.87500	0.11019
0.64583	0.00772
0.64875	0.18216
0.72375	0.08568
0.78125	0.02167
0.63375	0.08210
0.57000	0.09381
0.56250	0.09736
0.88000	0.00000
